mfcc_mean_0,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_std_0,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,mfcc_delta_mean_0,mfcc_delta_mean_1,mfcc_delta_mean_2,mfcc_delta_mean_3,mfcc_delta_mean_4,mfcc_delta_mean_5,mfcc_delta_mean_6,mfcc_delta_mean_7,mfcc_delta_mean_8,mfcc_delta_mean_9,mfcc_delta_mean_10,mfcc_delta_mean_11,mfcc_delta_mean_12,mfcc_delta_std_0,mfcc_delta_std_1,mfcc_delta_std_2,mfcc_delta_std_3,mfcc_delta_std_4,mfcc_delta_std_5,mfcc_delta_std_6,mfcc_delta_std_7,mfcc_delta_std_8,mfcc_delta_std_9,mfcc_delta_std_10,mfcc_delta_std_11,mfcc_delta_std_12,label
-282.82416,101.28192,13.534519,16.158361,3.3381205,9.060493,-0.5698908,6.013678,6.2279215,-0.6435169,1.2593694,0.36124295,-8.5967455,84.04692,37.006607,12.154344,10.121099,12.250035,15.866358,9.586462,10.550732,6.1473775,10.49066,8.189121,6.7404356,7.5758557,1.9241729,1.212756,0.44084713,-0.15530074,0.010582514,-0.1154674,-0.42644912,-0.39150107,-0.23281863,-0.019316345,-0.34418708,-0.3376776,-0.22314514,18.370453,8.124946,2.7117884,1.9496666,2.8821683,3.666771,2.0348816,2.5787075,1.4245051,2.245432,1.9118013,1.5375717,1.6271116,dol
-285.9717,98.86442,19.098478,15.641979,4.107135,6.2797704,4.366503,6.0482674,2.3479633,0.4488342,0.6366379,1.0623605,-7.4366317,77.12345,33.883575,19.606794,10.699791,11.026958,14.42123,4.4927835,10.020268,7.87391,9.160758,9.418892,7.8165503,9.235747,2.3936474,0.42358926,0.7069201,0.13791868,0.26036465,0.14037816,-0.047791556,-0.38434058,-0.27313882,0.08089781,0.17084637,-0.3514373,-0.54468,17.375185,7.3156085,4.4002476,2.1600156,2.5918322,3.247094,0.5739549,2.548246,1.8150208,1.7435671,1.7574267,1.7512515,2.2212803,dol
-321.09198,90.9371,18.758125,19.293957,0.77407384,6.71527,2.4983509,4.78397,-1.7134569,-2.2567565,-4.1146417,3.4922352,-4.9013696,78.221985,40.999866,16.111917,11.271731,11.948413,11.483341,7.376772,10.127817,8.827396,10.003059,7.6046367,9.244341,10.834844,1.4702978,1.3847826,0.6411145,0.13179462,-0.020461634,0.016837463,0.122018196,-0.16769853,-0.3020789,-0.13741164,-0.1168451,-0.56977713,-0.28598127,15.870401,8.515775,4.0883408,2.6917589,2.4649267,2.6315343,1.5928084,2.3263953,1.9632915,2.0465648,1.5331557,2.405847,2.2179608,dol
-323.8042,88.78095,15.562261,18.37975,0.5875855,3.2685392,0.10978645,5.821764,3.23844,-0.0070366263,-1.3037416,4.48445,-4.866126,85.02165,43.0141,17.73645,11.453536,11.769539,12.536404,7.254132,9.693419,5.5564404,10.341416,6.9612017,6.4098425,7.1068645,-0.066725254,-0.12216222,-0.19335021,0.24087763,0.11933382,-0.032232784,0.21617271,0.17879924,0.107223466,0.06006382,-0.021295404,0.18483733,0.086285755,17.998613,8.683482,3.880454,2.538604,2.6194556,2.8661094,1.5473664,2.2514687,1.1662749,2.1279461,1.5638708,1.2611012,1.4634019,dol
-321.42755,90.761475,18.74337,16.39795,-0.9999172,5.9541664,0.998928,4.1814666,1.0360311,0.44844222,-1.3835052,5.885785,-4.944599,81.621315,42.37656,18.651655,13.326229,12.997625,13.302757,8.0472355,9.448096,7.1404366,11.7615595,7.7397056,6.781028,8.893211,0.13525808,0.056448847,0.26077703,0.40439805,0.1508476,-0.021606207,0.033784524,0.058849633,0.053873125,-0.035723455,-0.2013658,-0.10428879,-0.27322936,17.283428,8.484546,3.8659747,3.0029218,2.9518588,3.28175,1.6678684,1.8302177,1.4128926,2.4170473,1.6704308,1.3966132,1.8509371,dol
-317.25708,94.66836,18.642933,17.014576,-0.6239535,5.8457417,2.1129246,3.8689852,0.48274153,-2.9807935,-1.5054191,6.745063,-4.662618,78.7794,43.105507,18.55852,11.979522,12.362716,13.313142,8.704608,8.403637,6.115342,11.984462,8.772317,9.4718275,10.094699,0.70549464,0.9452448,0.5665778,0.42425793,0.11791331,0.21977672,0.23066163,-0.045051873,-0.04112543,0.12969613,0.0835841,-0.45739958,-0.45946604,16.36577,8.4812355,4.2483163,2.7033997,2.6412907,2.9825134,1.7537516,1.8662347,1.0694445,2.3004565,1.5293304,2.0962734,1.9864172,dol
-305.49835,97.653725,13.334408,17.90018,0.43009654,1.7964362,5.9091916,6.4347534,-3.3731718,-3.0649889,-1.5378879,2.3991232,-3.6263924,93.637,45.15019,18.668167,10.299754,14.30912,16.011927,5.3686438,10.4930935,9.27584,11.366639,6.940477,7.3380227,8.399174,0.22182363,0.39445978,-0.011287034,0.22656071,0.046657838,-0.12402725,-0.19603467,-0.38521507,-0.116834395,-0.02396825,-0.23689187,-0.040400684,0.047561854,17.98605,8.728309,4.073025,2.5355558,3.1425238,3.5258267,0.60342216,2.50203,1.8273166,2.0962923,1.5826825,1.3817774,1.3786561,dol
-307.562,95.20597,16.1759,16.062008,-6.2086234,5.6267023,7.149675,6.075249,-1.2419796,-1.6092675,-1.1554528,4.828518,-4.4027042,87.86094,45.988987,17.12898,13.527138,16.927841,15.5970955,10.136347,10.790247,10.453705,9.3655405,7.125984,7.240437,8.772992,-0.3711915,0.25618938,0.2029603,0.7001391,0.7558524,-0.22229126,-0.35566506,-0.10356912,-0.03234017,0.32126957,0.096733496,-0.36680165,-0.35356963,17.330566,8.950885,4.4270687,3.170603,3.8117657,3.712226,2.3725624,2.2172396,2.3044367,1.8054401,1.3807625,1.712702,1.9100794,dol
-317.6385,94.139885,12.7382555,9.203671,-2.6576443,4.488604,2.6018193,2.24374,-0.6517645,4.953888,1.7127684,5.637454,-2.1362648,76.45338,44.922863,17.350767,11.260813,13.668045,15.011483,10.616104,8.638865,8.896871,9.5161085,6.7597523,4.470846,7.831695,2.8717713,1.507263,-0.40032774,-1.009787,-0.47572914,-0.16771415,-0.20308812,-0.3439085,-0.23970506,-0.12947853,-0.32420442,-0.08757477,-0.10717206,19.40379,10.896636,3.6375978,1.6090974,3.4022665,3.350634,2.3103774,1.5041268,2.0752704,1.9865166,1.4353666,0.66884804,2.0781996,dol
-315.70386,93.88888,13.021375,13.063988,0.1830225,7.160016,2.7442853,4.046214,-2.045457,1.4151516,-1.2363689,4.77222,-3.3478546,81.2422,46.38816,17.883595,11.486906,14.296754,15.5374155,5.91233,8.679864,9.611842,7.8612022,7.331484,7.6486964,8.8138,3.2934752,1.0918964,-0.43232223,-0.013015479,-0.0527402,0.101273626,-0.2888217,-0.6204844,-0.2858808,-0.10687044,-0.13673137,0.023187488,-0.076066434,19.810476,10.022209,2.9584177,2.4341004,3.2866356,3.7602255,0.92013836,2.2158723,2.0975769,1.5283606,1.4665343,1.2838866,1.8799785,dol
-301.83954,99.20099,13.2394285,16.83581,0.11813566,9.610231,6.650614,1.8816223,-3.922647,-2.9137063,-0.71826184,5.1052012,-4.858133,81.20577,50.318928,15.058473,16.5716,15.635038,16.724052,6.760823,9.022864,11.424022,8.9571,10.803685,7.9986053,9.318711,1.2471609,0.47150922,-0.2146488,0.021573514,-0.07846541,-0.21308708,0.06180331,-0.1820604,0.15989706,0.09510868,-0.0615941,-0.16540147,-0.13761824,15.613815,9.496368,2.605036,3.5998528,3.3293285,3.8646991,1.1996217,1.954162,1.6641965,1.6545999,2.0760677,1.4148519,1.6203375,dol
-315.62543,94.75912,11.699089,18.115112,0.4505204,6.5473037,5.826051,7.608489,2.229608,0.9180349,-2.5964851,3.2868898,-1.8701348,88.34205,47.8265,16.432188,13.602079,12.951503,15.390723,4.3732796,12.835392,8.889372,8.450571,7.6236224,6.747151,7.5908136,1.9189147,0.6346546,-0.26061714,0.47088543,-0.1641066,0.0015705526,-0.043140683,-0.46086007,-0.025804192,-0.027243398,-0.09961335,0.083983235,-0.22803023,19.007517,9.888755,3.233845,3.505612,2.8153675,3.385562,0.7419847,3.1155806,1.9621925,1.5389242,1.5169965,1.3363608,1.6418251,dol
-300.07303,89.65668,27.002779,17.218231,3.1978488,8.093083,4.2444305,4.1231947,3.0714688,2.4656358,-2.0089102,2.8293896,-6.354073,81.82276,37.780266,18.123245,13.202278,16.096758,11.508103,4.644582,12.133295,10.415355,10.053172,8.087796,6.5845857,10.164902,0.23159122,0.121041946,0.6709174,0.18747093,-0.16878228,-0.28226638,0.062559545,0.109030426,-0.0058959723,0.050261468,0.07969567,0.0062777027,-0.18089138,16.657677,7.5428,4.4860444,2.8382475,3.8469439,2.5436945,0.7866141,2.652491,2.3076444,2.01689,1.6575079,1.3641388,2.022702,dol
-322.48404,93.5862,17.590542,18.232843,1.6663339,5.6589217,4.191235,4.7832847,0.9499802,1.8357744,-1.150406,1.8224311,-5.141656,70.10698,43.834095,16.21593,12.198997,11.869365,14.742777,5.4991817,9.548399,5.031543,7.223187,7.7868347,6.7469053,8.612431,1.3445778,-0.03739524,-0.7491313,-0.16410021,0.00991188,0.27165195,-0.23721527,-0.72056264,-0.38308108,-0.38385114,-0.27232784,0.019366503,-0.12597996,15.579335,8.477242,2.3303099,2.8217657,2.7534974,3.3508215,1.0649282,2.668717,1.0327022,1.6066235,1.6181049,0.9925103,1.7452661,dol
-308.81192,91.54831,20.854216,13.81238,2.7746537,2.3045022,4.4517713,5.027083,-1.4840348,1.1211667,-2.0914035,1.9172716,-4.063625,86.21402,47.789665,26.19365,10.806182,15.944055,14.936293,6.286303,10.115833,12.228371,6.477271,5.71364,8.425422,7.880269,1.7669613,0.8754778,0.0055035353,0.60746,-0.069853336,0.06989089,-0.17913525,-0.34654203,-0.25156003,-0.2623396,-0.016078904,-0.095377274,-0.045088373,18.645233,9.759876,6.0856204,1.6491823,3.4611087,3.2308497,0.9291999,2.368707,2.8764744,1.4638379,0.9891463,1.6794183,1.6855724,dol
